,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,daysince,sinday,cosday,sindmo,cosdmo,year,sinrise,cosrise,sinset,cosset,city_b,city_le,city_lh,city_p,city_q,city_sa,city_si,city_su,city_t,city_u
3821,29.1,26.4,34.5,30.7,12.69,1.1,0.0,6.9,16.6,324.0,2.86,0,1190,0.6513724827222485,-0.7587581226927683,0.9489470729364682,0.31543533848525823,2021,0.984807753012208,0.17364817766693041,-0.9855560590580776,-0.16934950384902486,0,0,0,0,0,0,0,0,0,1
3822,29.9,26.4,35.7,30.7,15.34,5.6,0.0,10.5,26.3,306.0,3.31,0,1191,0.4853019625310686,-0.874346616144589,0.9541392564000485,0.2993631229733591,2021,0.984807753012208,0.17364817766693041,-0.9855560590580776,-0.16934950384902486,0,0,0,0,0,0,0,0,0,1
3823,29.9,27.2,37.0,33.2,18.55,8.5,0.0,10.8,25.6,70.0,3.83,0,1192,0.29936312297335205,-0.9541392564000507,0.9590592479012022,0.28320550668230354,2021,0.984807753012208,0.17364817766693041,-0.984807753012208,-0.17364817766693033,0,0,0,0,0,0,0,0,0,1
3824,30.3,27.6,37.7,32.6,21.5,0.9,0.0,12.1,24.8,82.0,4.49,0,1193,0.10116832198743403,-0.9948693233918949,0.9637056438899405,0.26696709897415294,2021,0.984807753012208,0.17364817766693041,-0.984807753012208,-0.17364817766693033,0,0,0,0,0,0,0,0,0,1
3825,29.7,27.3,36.5,32.9,23.7,4.4,0.0,14.4,28.8,143.0,4.53,0,1194,-0.10116832198742233,-0.9948693233918962,0.9680771188662035,0.25065253225872364,2021,0.984807753012208,0.17364817766693041,-0.9840406976462908,-0.17794354547384236,0,0,0,0,0,0,0,0,0,1
3826,28.9,26.6,35.6,31.8,23.14,0.0,0.0,12.7,27.4,153.0,4.49,0,1195,-0.299363122973368,-0.9541392564000457,0.9721724257579902,0.2342664606720836,2021,0.984807753012208,0.17364817766693041,-0.9840406976462908,-0.17794354547384236,0,0,0,0,0,0,0,0,0,1
3827,28.3,26.5,34.6,32.0,20.84,0.5,0.0,14.5,26.6,180.0,3.91,0,1196,-0.48530196253108315,-0.874346616144581,0.9759903962771154,0.21781355874885133,2021,0.984807753012208,0.17364817766693041,-0.9832549075639545,-0.18223552549214778,0,0,0,0,0,0,0,0,0,1
3828,28.2,25.8,34.7,31.4,22.2,0.0,0.0,12.3,23.8,170.0,4.15,0,1197,-0.651372482722218,-0.7587581226927945,0.9795299412524942,0.2012985200886617,2021,0.984807753012208,0.17364817766693041,-0.9832549075639545,-0.18223552549214778,0,0,0,0,0,0,0,0,0,1
3829,28.7,25.6,35.6,30.5,23.31,1.2,0.0,12.8,28.4,135.0,4.45,0,1198,-0.7907757369377076,-0.6121059825476511,0.982790050940858,0.18472605601718928,2021,0.984807753012208,0.17364817766693041,-0.9824503977255097,-0.18652403600873468,0,0,0,0,0,0,0,0,0,1
3830,28.8,25.4,35.2,29.5,22.11,4.2,0.0,17.2,29.2,122.0,4.22,0,1199,-0.8978045395707447,-0.4403941515576282,0.9857697953148035,0.16810089424214997,2021,0.984807753012208,0.17364817766693041,-0.9824503977255097,-0.18652403600873468,0,0,0,0,0,0,0,0,0,1
3831,29.1,26.5,35.4,31.3,22.84,0.1,0.0,16.5,28.4,139.0,4.48,0,1200,-0.968077118866204,-0.25065253225872175,0.9884683243281114,0.15142777750457675,2021,0.984807753012208,0.17364817766693041,-0.9824503977255097,-0.18652403600873468,0,0,0,0,0,0,0,0,0,1
3832,28.8,25.9,34.9,31.0,23.77,0.1,0.0,14.5,24.8,132.0,4.57,0,1201,-0.9987165071710523,-0.05064916883872196,0.9908848681582386,0.13471146222586292,2021,0.984807753012208,0.17364817766693041,-0.9816271834476639,-0.19080899537654547,0,0,0,0,0,0,0,0,0,1
3833,28.3,25.5,33.9,30.4,19.68,13.3,0.0,16.4,33.5,130.0,3.73,0,1202,-0.9884683243281097,0.15142777750458766,0.9930187374259336,0.11795671715084627,2021,0.984807753012208,0.17364817766693041,-0.9816271834476639,-0.19080899537654547,0,0,0,0,0,0,0,0,0,1
3834,29.1,25.9,34.7,30.4,23.14,0.0,0.0,17.4,29.9,132.0,4.66,0,1203,-0.9377521321470794,0.3473052528448232,0.9948693233918949,0.10116832198743428,2021,0.984807753012208,0.17364817766693041,-0.9807852804032303,-0.19509032201612866,0,0,0,0,0,0,0,0,0,1
3835,28.4,25.8,33.0,29.6,23.79,0.0,0.0,17.2,29.5,139.0,4.77,0,1204,-0.8486442574947536,0.5289640103269583,0.996436098130433,0.08435106604304528,2021,0.984807753012208,0.17364817766693041,-0.9807852804032303,-0.19509032201612866,0,0,0,0,0,0,0,0,0,1
3836,28.1,25.3,32.9,29.1,22.44,0.0,0.0,17.2,30.6,134.0,4.53,0,1205,-0.7247927872291289,0.6889669190756772,0.9977186146800706,0.06750974685836757,2021,0.984807753012208,0.17364817766693041,-0.9799247046208296,-0.1993679344171973,0,0,0,0,0,0,0,0,0,1
3837,28.7,26.0,33.1,28.8,22.96,0.0,0.0,17.1,30.2,137.0,4.97,0,1206,-0.5712682150947862,0.8207634412072806,0.9987165071710528,0.050649168838713274,2021,0.984807753012208,0.17364817766693041,-0.9799247046208296,-0.1993679344171973,0,0,0,0,0,0,0,0,0,1
3838,28.2,25.4,33.5,28.7,23.79,0.0,0.0,15.1,26.6,145.0,4.67,0,1207,-0.3943558551133191,0.9189578116202304,0.999429490929718,0.033774141883470575,2021,0.984807753012208,0.17364817766693041,-0.9799247046208296,-0.1993679344171973,0,0,0,0,0,0,0,0,0,1
3839,28.5,25.6,34.0,29.7,22.77,0.5,0.0,16.2,27.0,144.0,4.36,0,1208,-0.20129852008866853,0.9795299412524927,0.9998573625597098,0.01688948001393182,2021,0.984807753012208,0.17364817766693041,-0.9790454724845837,-0.2036417511401782,0,0,0,0,0,0,0,0,0,1
3840,29.0,25.4,35.2,30.1,23.19,0.6,0.0,13.2,22.0,122.0,4.51,0,1209,1.1764037039453651e-14,1.0,1.0,-9.803364199544708e-16,2021,0.984807753012208,0.17364817766693041,-0.9790454724845837,-0.2036417511401782,0,0,0,0,0,0,0,0,0,1
3841,29.3,25.8,34.8,30.6,22.89,0.0,0.0,18.4,28.8,123.0,4.58,0,1210,0.20129852008866372,0.9795299412524937,0.9998573625597098,-0.016889480013930227,2021,0.984807753012208,0.17364817766693041,-0.9790454724845837,-0.2036417511401782,0,0,0,0,0,0,0,0,0,1
3842,29.2,26.3,33.4,29.7,22.05,0.0,0.0,21.7,33.5,126.0,4.67,0,1211,0.3943558551133146,0.9189578116202324,0.9994294909297181,-0.03377414188346543,2021,0.984807753012208,0.17364817766693041,-0.9781476007338056,-0.2079116908177598,0,0,0,0,0,0,0,0,0,1
3843,28.4,25.6,33.0,29.1,21.34,0.0,0.0,15.5,27.4,137.0,4.32,0,1212,0.5712682150947822,0.8207634412072834,0.9987165071710529,-0.050649168838711685,2021,0.984807753012208,0.17364817766693041,-0.9781476007338056,-0.2079116908177598,0,0,0,0,0,0,0,0,0,1
3844,28.9,25.6,34.7,30.2,22.26,0.0,0.0,14.8,23.4,129.0,4.33,0,1213,0.7247927872291255,0.6889669190756808,0.9977186146800707,-0.06750974685836597,2021,0.984807753012208,0.17364817766693041,-0.9772311064626789,-0.21217767215644648,0,0,0,0,0,0,0,0,0,1
3845,28.8,26.2,34.3,30.7,22.08,0.2,0.0,18.9,29.5,128.0,4.27,0,1214,0.8486442574947509,0.5289640103269624,0.9964360981304331,-0.0843510660430437,2021,0.984807753012208,0.17364817766693041,-0.9772311064626789,-0.21217767215644648,0,0,0,0,0,0,0,0,0,1
3846,29.2,26.4,35.6,31.0,22.75,0.1,0.0,15.1,23.4,124.0,4.43,0,1215,0.9377521321470776,0.34730525284482777,0.9948693233918955,-0.10116832198742916,2021,0.984807753012208,0.17364817766693041,-0.9772311064626789,-0.21217767215644648,0,0,0,0,0,0,0,0,0,1
3847,29.1,26.3,35.7,32.2,21.69,6.8,0.0,14.5,27.0,129.0,4.12,0,1216,0.9884683243281089,0.1514277775045925,0.9930187374259338,-0.11795671715084469,2021,0.984807753012208,0.17364817766693041,-0.9772311064626789,-0.21217767215644648,0,0,0,0,0,0,0,0,0,1
3848,29.1,26.1,35.7,31.7,20.94,1.8,0.0,12.2,23.4,122.0,4.07,0,1217,0.9987165071710525,-0.050649168838717076,0.9908848681582388,-0.13471146222586133,2021,0.984807753012208,0.17364817766693041,-0.9762960071199334,-0.21643961393810282,0,0,0,0,0,0,0,0,0,1
3849,29.0,26.4,36.0,32.4,21.29,0.7,0.0,10.9,22.3,137.0,4.12,0,1218,0.9680771188662052,-0.250652532258717,0.9884683243281116,-0.1514277775045752,2021,0.984807753012208,0.17364817766693041,-0.9762960071199334,-0.21643961393810282,0,0,0,0,0,0,0,0,0,1
3850,29.1,26.2,35.4,32.3,22.49,0.0,0.0,15.1,23.8,134.0,4.28,0,1219,0.8978045395707468,-0.4403941515576238,0.9857697953148044,-0.1681008942421449,2021,0.9855560590580777,0.16934950384902475,-0.9762960071199334,-0.21643961393810282,0,0,0,0,0,0,0,0,0,1
3851,29.1,26.4,34.9,31.4,20.58,0.5,0.0,16.3,24.8,132.0,4.07,0,1220,0.7907757369376933,-0.6121059825476697,0.9827900509408576,-0.1847260560171912,2021,0.9855560590580777,0.16934950384902475,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3852,28.8,26.3,33.8,30.3,22.33,0.0,0.0,18.2,30.2,131.0,4.46,0,1221,0.6513724827222217,-0.7587581226927913,0.9795299412524945,-0.20129852008866014,2021,0.9855560590580777,0.16934950384902475,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3853,28.3,25.7,32.7,29.7,20.14,0.0,0.0,18.7,31.0,137.0,4.03,0,1222,0.4853019625310875,-0.8743466161445785,0.9759903962771157,-0.21781355874884978,2021,0.9855560590580777,0.16934950384902475,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3854,27.7,25.4,32.2,29.7,18.68,0.5,0.0,18.9,28.8,132.0,3.56,0,1223,0.29936312297337264,-0.9541392564000443,0.9721724257579907,-0.23426646067208204,2021,0.9855560590580777,0.16934950384902475,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3855,28.4,25.9,33.2,30.2,19.71,0.5,0.0,21.8,32.8,127.0,3.87,0,1224,0.1011683219874272,-0.9948693233918956,0.968077118866204,-0.2506525322587221,2021,0.9855560590580777,0.16934950384902475,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3856,29.2,26.0,33.8,30.0,21.25,0.0,0.0,19.3,30.6,127.0,4.22,0,1225,-0.10116832198742916,-0.9948693233918955,0.963705643889941,-0.26696709897415144,2021,0.9855560590580777,0.16934950384902475,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3857,28.7,25.9,33.1,29.9,22.22,0.0,0.0,22.8,34.9,127.0,4.39,0,1226,-0.2993631229733474,-0.9541392564000521,0.9590592479012027,-0.28320550668230204,2021,0.9855560590580777,0.16934950384902475,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3858,28.6,25.7,33.8,29.6,21.82,0.0,0.0,19.3,31.0,125.0,4.23,0,1227,-0.4853019625310892,-0.8743466161445775,0.9541392564000489,-0.29936312297335754,2021,0.9862856015372313,0.16504760586067782,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3859,29.0,26.1,33.1,30.2,20.6,0.0,0.0,23.4,39.6,122.0,4.01,0,1228,-0.6513724827222231,-0.7587581226927901,0.9489470729364686,-0.3154353384852567,2021,0.9862856015372313,0.16504760586067782,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3860,28.6,25.7,32.8,29.7,20.64,0.0,0.0,22.8,37.1,126.0,4.0,0,1229,-0.7907757369376944,-0.6121059825476681,0.9434841787099804,-0.3314175682186353,2021,0.9862856015372313,0.16504760586067782,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3861,28.4,25.2,32.6,29.1,20.55,0.0,0.0,20.5,33.1,127.0,3.85,0,1230,-0.8978045395707351,-0.44039415155764755,0.9377521321470813,-0.347305252844818,2021,0.9862856015372313,0.16504760586067782,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3862,28.3,25.6,33.0,29.4,19.72,0.0,0.0,18.3,32.4,126.0,3.8,0,1231,-0.9680771188662057,-0.2506525322587151,0.9317525684566688,-0.36309386000647387,2021,0.9862856015372313,0.16504760586067782,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3863,28.1,25.8,32.7,30.3,13.81,2.2,0.0,15.6,24.8,128.0,2.84,0,1232,-0.9987165071710526,-0.050649168838715106,0.9254871991635591,-0.37877888561057693,2021,0.9862856015372313,0.16504760586067782,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3864,28.2,25.8,34.4,31.0,18.97,2.8,0.0,14.4,24.5,140.0,3.49,0,1233,-0.9884683243281129,0.15142777750456635,0.9189578116202309,-0.3943558551133178,2021,0.9869963665602319,0.1607425656038261,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3865,28.5,25.7,33.7,30.4,19.27,0.1,0.0,17.3,30.2,134.0,3.58,0,1234,-0.9377521321470869,0.34730525284480296,0.9121662684969345,-0.40982032479658503,2021,0.9869963665602319,0.1607425656038261,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3866,28.6,25.9,33.6,30.7,19.45,0.0,0.0,17.2,27.7,134.0,3.69,0,1235,-0.8486442574947499,0.528964010326964,0.9051145072503216,-0.4251678830356398,2021,0.9869963665602319,0.1607425656038261,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3867,28.8,25.8,33.7,30.2,20.97,0.0,0.0,17.9,28.4,133.0,4.0,0,1236,-0.7247927872291241,0.6889669190756822,0.8978045395707414,-0.4403941515576349,2021,0.9869963665602319,0.1607425656038261,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3868,28.1,25.6,33.5,31.2,19.41,0.0,0.0,13.7,23.8,145.0,3.62,0,1237,-0.5712682150948039,0.8207634412072683,0.8902384508083521,-0.455494786690633,2021,0.9869963665602319,0.1607425656038261,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3869,28.1,25.6,34.1,31.1,18.8,0.3,0.0,15.8,25.2,133.0,3.48,0,1238,-0.39435585511331284,0.918957811620233,0.8824183993782189,-0.47046548060275606,2021,0.9876883405951378,0.15643446504023092,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3870,28.7,26.2,33.9,30.9,17.54,0.6,0.0,16.3,27.4,140.0,3.47,0,1239,-0.2012985200886618,0.9795299412524942,0.8743466161445828,-0.4853019625310799,2021,0.9876883405951378,0.15643446504023092,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3871,29.0,26.1,34.1,30.8,20.39,0.2,0.0,17.0,28.8,130.0,3.95,0,1240,-9.797174393178826e-15,1.0,0.8660254037844385,-0.5000000000000003,2021,0.9876883405951378,0.15643446504023092,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3872,29.2,25.9,34.9,31.6,20.52,0.0,0.0,16.5,28.1,129.0,3.94,0,1241,0.20129852008864263,0.979529941252498,0.8574571361306518,-0.5145554000286275,2021,0.9876883405951378,0.15643446504023092,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3873,28.0,26.5,33.8,31.7,18.18,10.9,0.0,17.0,26.6,127.0,3.3,0,1242,0.39435585511332094,0.9189578116202296,0.8486442574947508,-0.5289640103269626,2021,0.9876883405951378,0.15643446504023092,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3874,28.3,26.0,34.1,31.1,18.29,1.6,0.0,15.7,25.6,134.0,3.39,0,1243,0.5712682150947878,0.8207634412072794,0.8395892819696398,-0.5432217204804174,2021,0.9883615104677607,0.1521233861899168,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3875,27.5,25.6,33.1,30.9,18.94,0.0,0.0,12.6,20.9,146.0,3.49,0,1244,0.7247927872291107,0.6889669190756963,0.8302947927123763,-0.5573244631224364,2021,0.9883615104677607,0.1521233861899168,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3876,27.5,25.2,32.6,30.0,19.3,0.0,0.0,16.3,27.4,152.0,3.52,0,1245,0.8486442574947396,0.5289640103269807,0.8207634412072774,-0.5712682150947908,2021,0.9883615104677607,0.1521233861899168,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3877,28.3,25.4,33.2,29.8,20.16,0.0,0.0,15.9,25.9,143.0,3.79,0,1245,0.8486442574947396,0.5289640103269807,0.8207634412072774,-0.5712682150947908,2021,0.9883615104677607,0.1521233861899168,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3878,28.4,25.3,33.8,29.3,20.5,0.0,0.0,14.4,24.1,130.0,3.94,0,1246,0.9377521321470801,0.34730525284482133,0.8109979465095012,-0.5850489985953076,2021,0.9890158633619168,0.14780941112961077,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3879,28.3,25.6,34.9,31.6,19.95,0.0,0.0,13.0,23.8,138.0,3.74,0,1247,0.98846832432811,0.15142777750458572,0.8010010944693858,-0.5986628823126134,2021,0.9890158633619168,0.14780941112961077,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3880,28.8,25.9,35.1,32.1,19.88,0.0,0.0,14.6,23.8,146.0,3.73,0,1248,0.9987165071710536,-0.05064916883869554,0.7907757369376988,-0.6121059825476627,2021,0.9890158633619168,0.14780941112961077,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3881,28.7,26.0,34.8,31.3,19.66,0.4,0.0,13.0,22.3,133.0,3.74,0,1249,0.9680771188662035,-0.25065253225872364,0.780324790952091,-0.625374464321638,2021,0.9890158633619168,0.14780941112961077,-0.9733792584604485,-0.22920039092241415,0,0,0,0,0,0,0,0,0,1
3882,28.9,25.7,34.8,31.2,20.41,0.0,0.0,15.0,24.8,155.0,3.81,0,1250,0.8978045395707438,-0.44039415155762995,0.7696512379049325,-0.6384645424699832,2021,0.9896513868196702,0.1434926219911793,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3883,28.0,25.3,33.4,30.6,20.04,0.0,0.0,15.9,26.3,157.0,3.66,0,1251,0.7907757369377064,-0.6121059825476527,0.7587581226927924,-0.6513724827222205,2021,0.9896513868196702,0.1434926219911793,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3884,28.4,25.6,33.6,30.5,19.44,0.0,0.0,15.9,26.3,138.0,3.7,0,1252,0.651372482722238,-0.7587581226927773,0.7476485528478093,-0.6640946027672386,2021,0.9896513868196702,0.1434926219911793,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3885,28.7,25.4,34.7,29.6,18.9,2.4,0.0,13.8,24.8,125.0,3.63,0,1253,0.4853019625310815,-0.8743466161445819,0.7363256976511965,-0.6766272733037582,2021,0.9896513868196702,0.1434926219911793,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3886,28.8,25.7,33.9,29.9,18.6,4.0,0.0,19.0,32.0,125.0,3.59,0,1254,0.2993631229733661,-0.9541392564000463,0.7247927872291204,-0.6889669190756861,2021,0.9902680687415703,0.1391731009600657,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3887,28.1,25.6,33.5,30.6,18.77,0.1,0.0,15.8,24.5,138.0,3.53,0,1255,0.10116832198744866,-0.9948693233918935,0.7130531116312221,-0.7011100198920508,2021,0.9902680687415703,0.1391731009600657,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3888,28.3,25.5,33.2,30.3,19.67,0.0,0.0,16.3,24.5,134.0,3.73,0,1256,-0.10116832198740772,-0.9948693233918976,0.7011100198920532,-0.7130531116312198,2021,0.9902680687415703,0.1391731009600657,-0.9743700647852351,-0.22495105434386525,0,0,0,0,0,0,0,0,0,1
3889,28.6,25.5,34.1,30.9,19.0,0.2,0.0,15.6,25.9,135.0,3.68,0,1257,-0.29936312297335393,-0.9541392564000502,0.688966919075686,-0.7247927872291205,2021,0.9902680687415703,0.1391731009600657,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3890,28.3,26.1,33.7,30.7,17.95,2.5,0.0,16.1,27.4,125.0,3.36,0,1258,-0.48530196253107033,-0.8743466161445881,0.6766272733037582,-0.7363256976511966,2021,0.9908658973868822,0.13485093027372308,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3891,29.1,25.7,35.4,31.2,18.59,2.2,0.0,13.0,27.4,125.0,3.59,0,1259,-0.6513724827222068,-0.7587581226928041,0.6640946027672412,-0.7476485528478071,2021,0.9908658973868822,0.13485093027372308,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3892,28.7,25.7,35.0,30.1,17.88,5.6,0.0,15.2,25.9,119.0,3.49,0,1260,-0.7907757369376986,-0.6121059825476628,0.6513724827222231,-0.7587581226927901,2021,0.9908658973868822,0.13485093027372308,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3893,28.7,25.6,33.6,29.6,16.82,4.1,0.0,20.5,33.8,122.0,3.38,0,1261,-0.8978045395707381,-0.4403941515576414,0.6384645424699831,-0.7696512379049326,2021,0.9908658973868822,0.13485093027372308,-0.9753423205085126,-0.22069743502150163,0,0,0,0,0,0,0,0,0,1
3894,28.5,25.8,32.5,29.7,15.95,0.1,0.0,17.1,26.6,122.0,3.35,0,1262,-0.9680771188662003,-0.25065253225873596,0.6253744643216379,-0.780324790952091,2021,0.9914448613738104,0.1305261922200517,-0.9762960071199334,-0.21643961393810282,0,0,0,0,0,0,0,0,0,1
3895,28.3,25.8,33.7,30.7,18.23,4.8,0.0,14.2,26.3,122.0,3.45,0,1263,-0.9987165071710516,-0.050649168838736644,0.6121059825476654,-0.7907757369376966,2021,0.9914448613738104,0.1305261922200517,-0.9762960071199334,-0.21643961393810282,0,0,0,0,0,0,0,0,0,1
3896,28.3,25.0,34.5,30.1,19.31,3.0,0.0,12.2,24.8,118.0,3.61,0,1264,-0.9884683243281076,0.15142777750460124,0.5986628823126162,-0.8010010944693837,2021,0.9914448613738104,0.1305261922200517,-0.9762960071199334,-0.21643961393810282,0,0,0,0,0,0,0,0,0,1
3897,28.3,24.9,34.3,30.2,17.09,7.2,0.0,11.5,22.0,190.0,3.24,0,1265,-0.9377521321470746,0.34730525284483604,0.5850489985953075,-0.8109979465095013,2021,0.9914448613738104,0.1305261922200517,-0.9762960071199334,-0.21643961393810282,0,0,0,0,0,0,0,0,0,1
3898,27.9,24.7,33.3,30.1,18.41,0.5,0.0,13.1,22.3,161.0,3.49,0,1266,-0.8486442574947463,0.5289640103269699,0.5712682150947936,-0.8207634412072754,2021,0.9914448613738104,0.1305261922200517,-0.9762960071199334,-0.21643961393810282,0,0,0,0,0,0,0,0,0,1
3899,28.8,25.7,34.3,30.1,17.96,4.6,0.0,16.5,27.7,122.0,3.53,0,1267,-0.7247927872291194,0.6889669190756871,0.5573244631224393,-0.8302947927123744,2021,0.992004949679715,0.12619896913582973,-0.9772311064626789,-0.21217767215644648,0,0,0,0,0,0,0,0,0,1
3900,27.9,24.9,33.9,29.0,17.05,11.8,0.0,17.8,31.7,117.0,3.09,0,1268,-0.5712682150947982,0.8207634412072722,0.5432217204804203,-0.8395892819696379,2021,0.992004949679715,0.12619896913582973,-0.9772311064626789,-0.21217767215644648,0,0,0,0,0,0,0,0,0,1
3901,27.4,25.1,33.0,30.2,13.5,27.4,0.0,10.2,25.9,132.0,2.61,0,1269,-0.39435585511333265,0.9189578116202246,0.5289640103269625,-0.8486442574947509,2021,0.992004949679715,0.12619896913582973,-0.9772311064626789,-0.21217767215644648,0,0,0,0,0,0,0,0,0,1
3902,28.6,25.1,34.7,30.0,18.66,5.2,0.0,14.9,28.4,115.0,3.51,0,1270,-0.20129852008868293,0.9795299412524898,0.5145554000286304,-0.85745713613065,2021,0.992004949679715,0.12619896913582973,-0.9772311064626789,-0.21217767215644648,0,0,0,0,0,0,0,0,0,1
3903,28.4,26.0,35.1,31.0,19.36,1.8,0.0,14.8,24.8,128.0,3.57,0,1271,2.5485033034996715e-14,1.0,0.5000000000000002,-0.8660254037844385,2021,0.992004949679715,0.12619896913582973,-0.9781476007338056,-0.2079116908177598,0,0,0,0,0,0,0,0,0,1
3904,28.0,25.5,34.4,31.0,16.93,8.6,0.0,11.4,23.8,137.0,3.22,0,1272,0.20129852008867719,0.9795299412524909,0.4853019625310829,-0.8743466161445811,2021,0.992546151641322,0.12186934340514749,-0.9781476007338056,-0.2079116908177598,0,0,0,0,0,0,0,0,0,1
3905,28.6,25.3,34.0,30.8,19.75,0.3,0.0,15.7,27.0,130.0,3.72,0,1273,0.39435585511332727,0.9189578116202269,0.47046548060275595,-0.8824183993782189,2021,0.992546151641322,0.12186934340514749,-0.9781476007338056,-0.2079116908177598,0,0,0,0,0,0,0,0,0,1
3906,28.7,25.8,33.7,29.5,19.18,0.0,0.0,18.1,27.0,126.0,3.85,0,1274,0.5712682150947934,0.8207634412072755,0.45549478669063603,-0.8902384508083505,2021,0.992546151641322,0.12186934340514749,-0.9781476007338056,-0.2079116908177598,0,0,0,0,0,0,0,0,0,1
3907,28.5,25.5,31.6,29.2,18.34,0.0,0.0,23.4,34.9,123.0,3.73,0,1275,0.7247927872291153,0.6889669190756913,0.4403941515576348,-0.8978045395707415,2021,0.992546151641322,0.12186934340514749,-0.9781476007338056,-0.2079116908177598,0,0,0,0,0,0,0,0,0,1
3908,28.1,25.3,31.7,28.6,18.23,0.0,0.0,21.7,32.0,127.0,3.71,0,1276,0.8486442574947431,0.5289640103269749,0.4251678830356397,-0.9051145072503217,2021,0.992546151641322,0.12186934340514749,-0.9790454724845837,-0.2036417511401782,0,0,0,0,0,0,0,0,0,1
3909,27.6,25.0,31.9,28.6,19.27,0.0,0.0,21.1,32.4,124.0,3.75,0,1277,0.9377521321470725,0.3473052528448416,0.40982032479658814,-0.912166268496933,2021,0.992546151641322,0.12186934340514749,-0.9790454724845837,-0.2036417511401782,0,0,0,0,0,0,0,0,0,1
3910,27.7,25.2,30.6,28.6,18.1,0.0,0.0,23.6,37.4,119.0,3.53,0,1278,0.9884683243281067,0.15142777750460704,0.39435585511332094,-0.9189578116202296,2021,0.992546151641322,0.12186934340514749,-0.9790454724845837,-0.2036417511401782,0,0,0,0,0,0,0,0,0,1
3911,26.9,24.6,29.6,26.4,19.68,0.0,0.0,23.0,40.7,126.0,3.93,0,1279,0.9987165071710519,-0.050649168838730774,0.3787788856105768,-0.9254871991635593,2021,0.9930684569549263,0.1175373974578377,-0.9790454724845837,-0.2036417511401782,0,0,0,0,0,0,0,0,0,1
